rank,priority_score,priority_reasons,image_id,resolved_image,source,expected_target,expected_crop,expected_part,expected_class,actual_status,predicted_crop,predicted_part,predicted_disease,prototype_target,prototype_class_label,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,corrected_crop,corrected_part,corrected_class,prototype_quality,adapter_training_quality,review_notes
11,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_058,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,unknown_crop,plum,unknown,,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.60266421,0.01617204,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
12,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_366,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,unknown_crop,banana,unknown,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.56706778,0.00337518,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
13,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_395,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,unknown_crop,honeydew,unknown,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.61297371,0.01714314,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
14,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_398,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,unknown_crop,avocado,unknown,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.55405532,0.00667449,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
15,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_399,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,unknown_crop,pepper,bud,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.57438389,0.010738,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
16,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_409,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,unknown_crop,plum,unknown,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.63584709,0.01836532,prototype_evidence_weak,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
17,510,router_failure|prototype_evidence_weak|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_509,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_spotted_wilt_yaprak,router_uncertain,tomato,leaf,,tomato__fruit,domates_sağlıklı_meyve,0.6091638,0.02420663,prototype_evidence_weak,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: tomato spotted-wilt row is not clean against healthy fruit prototype
18,490,router_failure|part_conflict|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_236,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_236_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_236_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,router_uncertain,grape,leaf,,grape__fruit,üzüm_mildiyö_meyve,0.65780202,0.01833696,part_conflict,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,"reviewed: exact target/class grape fruit prototype evidence, safe positive candidate"
19,490,router_failure|part_conflict|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_237,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_237_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_237_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,router_uncertain,grape,leaf,,grape__fruit,üzüm_mildiyö_meyve,0.63765992,0.01895997,part_conflict,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,reviewed: clear same-target router/prototype positive
20,490,router_failure|part_conflict|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_243,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_243_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_243_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,router_uncertain,grape,leaf,,grape__fruit,üzüm_mildiyö_meyve,0.64676945,0.01302938,part_conflict,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,"reviewed: exact target/class grape fruit prototype evidence, safe positive candidate"
21,490,router_failure|part_conflict|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_129,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,staged_external:docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router_uncertain,tomato,fruit,,tomato__leaf,domates_septoria_leaf_spot_yaprak,0.62861281,0.03094016,part_conflict,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: tomato leaf part-conflict row is low-signal for class-safe rescue
22,480,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|prototype_correct_but_abstained,demo_057,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,unknown_crop,eggplant,unknown,,tomato__fruit,domates_late_blight_meyve,0.64059393,0.02269732,negative_prototype_too_close,router,fail,add_prototype_positive,,,,reviewed_same_target_positive,not_for_adapter_training,reviewed: clear same-target router/prototype positive
23,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_162,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_162_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,unknown_crop,plum,unknown,,apricot__leaf,kayısı_yaprak_delen_çil_hastalığı_yaprak_300,0.6018691,0.03973736,negative_prototype_too_close,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: apricot fruit row appears to be leaf imagery/target mismatch
24,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_265,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_265_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_265_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_leafroll_virüs_yaprak,router_uncertain,grape,leaf,,grape__fruit,üzüm_sağlıklı_meyve,0.64187345,0.01350508,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
25,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_356,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_356_strawberry_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_356_strawberry_leaf.jpg,strawberry__leaf,strawberry,leaf,strawberry_leaf_spot_leaf,router_uncertain,strawberry,fruit,,strawberry__fruit,strawberry_anthracnose_fruit,0.64284037,0.0161439,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
26,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_006,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_006_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,router_uncertain,tomato,leaf,,tomato__fruit,domates_late_blight_meyve,0.6201445,0.01350398,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
27,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_439,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_439_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_439_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,router_uncertain,tomato,leaf,,tomato__fruit,domates_late_blight_meyve,0.62855619,0.01527046,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
28,470,router_failure|negative_prototype_too_close|failed_row|low_prototype_margin|high_similarity_wrong_prototype_target,demo_442,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_442_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_442_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,router_uncertain,tomato,leaf,,tomato__fruit,domates_late_blight_meyve,0.63495778,0.00406755,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
29,450,router_failure|part_conflict|failed_row|prototype_correct_but_abstained,demo_384,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_384_tomato_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_384_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,router_uncertain,tomato,leaf,,tomato__fruit,domates_sağlıklı_meyve,0.67193348,0.08294599,part_conflict,router,fail,relabel:domates_sag?l?kl?_meyve,,,domates_sag?l?kl?_meyve,not_for_prototype,not_for_adapter_training,relabeled: tomato fruit appears healthy; do not use as gray mold prototype evidence
30,430,router_failure|negative_prototype_too_close|failed_row|high_similarity_wrong_prototype_target,demo_165,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_165_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_165_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,unknown_crop,plum,unknown,,apricot__leaf,kayısı_yaprak_delen_çil_hastalığı_yaprak_300,0.67254014,0.08823326,negative_prototype_too_close,router,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,excluded: apricot fruit row appears to be leaf imagery/target mismatch
31,430,router_failure|negative_prototype_too_close|failed_row|high_similarity_wrong_prototype_target,demo_498,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_498_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_498_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_sağlıklı_yaprak,unknown_crop,potato,leaf,,tomato__fruit,domates_sağlıklı_meyve,0.64758572,0.04207815,negative_prototype_too_close,router,fail,add_prototype_hard_negative,,,,reviewed_cross_target_hard_negative,not_for_adapter_training,reviewed: clear expected target too close to wrong prototype target
