rank,priority_score,priority_reasons,image_id,resolved_image,source,expected_target,expected_crop,expected_part,expected_class,actual_status,predicted_crop,predicted_part,predicted_disease,prototype_target,prototype_class_label,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,corrected_crop,corrected_part,corrected_class,prototype_quality,adapter_training_quality,review_notes
14,1440,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_008,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_008_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,success,tomato,leaf,domates_septoria_leaf_spot_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,0.6467042,0.08272657,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
15,1440,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_040,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_040_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,success,tomato,leaf,domates_septoria_leaf_spot_yaprak,tomato__leaf,domates_septoria_leaf_spot_yaprak,0.63382366,0.06076256,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
16,1440,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_059,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_059_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_059_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,success,tomato,leaf,domates_septoria_leaf_spot_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,0.62007719,0.06608217,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato bacterial spot/speck symptoms are plausible hard examples
17,1435,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_159,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_159_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,success,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.65484886,0.10085859,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot peach-scab/black-spot label is plausible hard example
18,1435,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_178,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_178_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,success,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,0.6357984,0.06396664,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot peach-scab/black-spot label is plausible hard example
19,1425,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|crop_part_correct_disease_wrong,demo_149,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_149_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,success,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,0.58175204,0.03243136,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot sharka-like mottled fruit symptoms are plausible
20,1425,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|crop_part_correct_disease_wrong,demo_256,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_256_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_256_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_külleme_yaprak,success,grape,leaf,üzüm_mildiyö_yaprak,grape__leaf,üzüm_külleme_yaprak,0.57240304,0.03301811,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: close clear grape leaf powdery mildew hard example
21,1415,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|low_prototype_margin|repeated_target|crop_part_correct_disease_wrong,demo_233,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_233_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_233_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_külleme_meyve,success,grape,fruit,u_zu_m_antraknoz_meyve,grape__fruit,üzüm_külleme_meyve,0.57740914,0.02942964,prototype_overrode_untrusted_router_handoff,,fail,relabel:u_zu_m_antraknoz_meyve,,,u_zu_m_antraknoz_meyve,not_for_prototype,not_for_adapter_training,visible sunken grape-fruit lesion is more consistent with predicted anthracnose than powdery mildew
22,1415,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_063,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_063_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_063_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,success,tomato,leaf,domates_late_blight_yaprak,tomato__leaf,domates_late_blight_yaprak,0.59435171,0.06126906,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,tomato early-vs-late-blight leaf distinction is low-signal from the image
23,1385,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_026,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_026_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_çiçek_monilyası_meyve_40,success,apricot,fruit,kayısı_sağlıklı_meyve_800,apricot__fruit,kayısıda_çiçek_monilyası_meyve_40,0.63925056,0.06815054,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,"reviewed: clear diseased apricot fruit, not healthy"
24,1385,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_115,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_115_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,success,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,apricot__fruit,kayısıda_şeftali_karalekesi_meyve_232,0.63062719,0.06491126,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: apricot sharka-like ring/mottle fruit symptoms are plausible
25,1385,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_118,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_118_apricot_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_118_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,success,apricot,fruit,kayısı_sağlıklı_meyve_800,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,0.60457556,0.04497261,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,apricot sharka fruit signal is too weak; healthy prediction is plausible
26,1375,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_209,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_209_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_209_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_botrytis_cinerea_meyve,success,grape,fruit,u_zu_m_ku_lleme_meyve,grape__fruit,üzüm_botrytis_cinerea_meyve,0.61790925,0.04843502,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear grape botrytis/gray-rot fruit hard example
27,1365,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_096,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_096_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_096_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_botrytis_cinerea_meyve,success,grape,fruit,u_zu_m_sag_lıklı_meyve,grape__fruit,üzüm_botrytis_cinerea_meyve,0.64601005,0.0744365,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear grape botrytis/gray-rot bunch hard example
28,1365,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_207,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_207_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_207_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_botrytis_cinerea_meyve,success,grape,fruit,u_zu_m_mildiyo_meyve,grape__fruit,üzüm_botrytis_cinerea_meyve,0.59641569,0.0592408,prototype_overrode_calibrated_part_conflict,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear grape botrytis/rot fruit hard example
29,1365,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_220,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_220_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_220_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,success,grape,fruit,u_zu_m_sag_lıklı_meyve,grape__fruit,üzüm_sağlıklı_meyve,0.62874235,0.04061814,prototype_overrode_calibrated_part_conflict,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,grape fruit target looks mostly healthy; visible disease signal is on nearby leaf
30,1365,answered_wrong|prototype_overrode_calibrated_part_conflict|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_228,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_228_grape_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_228_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,success,grape,fruit,u_zu_m_ku_lleme_meyve,grape__fruit,üzüm_mildiyö_meyve,0.60650157,0.06812698,prototype_overrode_calibrated_part_conflict,,fail,relabel:u_zu_m_ku_lleme_meyve,,,u_zu_m_ku_lleme_meyve,not_for_prototype,not_for_adapter_training,heavy powdery grape-fruit residue makes predicted powdery mildew more plausible than downy mildew
31,1365,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_005,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_005_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,success,tomato,leaf,domates_late_blight_yaprak,tomato__leaf,domates_bacterial_spot_and_speck_yaprak,0.65913847,0.08743001,prototype_overrode_untrusted_router_handoff,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,tomato bacterial spot/speck vs late blight is low-signal edge necrosis
32,1365,answered_wrong|prototype_overrode_untrusted_router_handoff|failed_row|repeated_target|crop_part_correct_disease_wrong,demo_441,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_441_tomato_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_441_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,success,tomato,leaf,domates_late_blight_yaprak,tomato__leaf,domates_late_blight_yaprak,0.61079026,0.04613024,prototype_overrode_untrusted_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: tomato leaf-mold symptoms are plausible
33,1345,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_306,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_306_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_306_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,success,strawberry,fruit,strawberry_anthracnose_fruit,strawberry__fruit,strawberry_gray_mold_fruit,0.65046463,0.05568336,router_and_prototype_agree,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: clear strawberry gray mold/fuzzy rot hard example
34,1345,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_312,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_312_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_312_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,success,strawberry,fruit,strawberry_anthracnose_fruit,strawberry__fruit,strawberry_powdery_mildew_fruit,0.67898486,0.09569052,router_and_prototype_agree,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: strawberry powdery mildew fruit symptoms are visible
35,1345,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_313,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_313_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_313_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,success,strawberry,fruit,strawberry_gray_mold_fruit,strawberry__fruit,strawberry_powdery_mildew_fruit,0.72185155,0.11235912,prototype_corrected_router_handoff,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: strawberry powdery mildew fruit symptoms are visible
36,1345,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_314,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_314_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_314_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,success,strawberry,fruit,strawberry_anthracnose_fruit,strawberry__fruit,strawberry_powdery_mildew_fruit,0.6673376,0.09807305,router_and_prototype_agree,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: strawberry powdery mildew fruit symptoms are visible
37,1345,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_315,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_315_strawberry_fruit.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_315_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,success,strawberry,fruit,strawberry_gray_mold_fruit,strawberry__fruit,strawberry_powdery_mildew_fruit,0.70312206,0.09753625,router_and_prototype_agree,,fail,add_adapter_train,,,,not_for_prototype,reviewed_adapter_hard_example,reviewed: strawberry powdery mildew fruit symptoms are visible
38,1340,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_274,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_274_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_274_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_mildiyö_yaprak,success,grape,leaf,üzüm_külleme_yaprak,grape__leaf,üzüm_mildiyö_yaprak,0.61850336,0.04004466,router_and_prototype_agree,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,grape downy mildew vs powdery mildew distinction is visually ambiguous or low-signal
39,1340,answered_wrong|failed_row|repeated_target|repeated_class_pair|crop_part_correct_disease_wrong,demo_276,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_276_grape_leaf.jpg,staged_external:docs/demo_assets/m2_full_image_set/images/demo_276_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_mildiyö_yaprak,success,grape,leaf,üzüm_külleme_yaprak,grape__leaf,üzüm_mildiyö_yaprak,0.64294851,0.05878322,router_and_prototype_agree,,fail,exclude_ambiguous,,,,not_for_prototype,not_for_adapter_training,grape downy mildew vs powdery mildew distinction is visually ambiguous or low-signal
