image_id,source,expected_target,expected_behavior,notes,disease_class
demo_145,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_çiçek_monilyası_meyve_40/Kaysıda Çiçek Monilyası 119.JPG,apricot__fruit,known supported disease class: kayısıda_çiçek_monilyası_meyve_40; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_çiçek_monilyası_meyve_40
demo_156,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 262.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_157,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 267.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_158,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 280.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_159,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 287.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_160,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 307.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_161,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 331.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_162,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 346.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_163,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 35.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_164,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şarka_virüsü_meyve_230/Şarka Virüsü 356.JPG,apricot__fruit,known supported disease class: kayısıda_şarka_virüsü_meyve_230; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şarka_virüsü_meyve_230
demo_165,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0004.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_166,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0012.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_167,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0024.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_168,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0036.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_169,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0071.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_170,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0076.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_171,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0093.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_172,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0108.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_173,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0123.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_174,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_şeftali_karalekesi_meyve_232/peach_scab_Bing_0127.jpg,apricot__fruit,known supported disease class: kayısıda_şeftali_karalekesi_meyve_232; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_şeftali_karalekesi_meyve_232
demo_175,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 105.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_176,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 195.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_177,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 2.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_178,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 219.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_179,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 28.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_180,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 36.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_181,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 39.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_182,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 41.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_183,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 45.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_184,local_test_pool:data/prepared_runtime_datasets/apricot__fruit/test/kayısıda_yaprak_delen_çil_hastalığı_meyve_128/Kayısıda yaprak delen çil 48.JPG,apricot__fruit,known supported disease class: kayısıda_yaprak_delen_çil_hastalığı_meyve_128; disease answer or review expected,supported disease coverage for apricot__fruit; split=test,kayısıda_yaprak_delen_çil_hastalığı_meyve_128
demo_185,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 106.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_186,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 273.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_187,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 276.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_188,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 283.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_189,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 286.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_190,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 291.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_191,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 294.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_192,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 297.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_193,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 300.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_194,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_şarka_virüsü_yaprak_206/Şarka Virüsü 303.JPG,apricot__leaf,known supported disease class: kayısı_şarka_virüsü_yaprak_206; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_şarka_virüsü_yaprak_206
demo_195,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/107.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_196,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/525.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_197,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/539.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_198,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/545.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_199,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/557.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_200,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/571.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_201,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/582.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_202,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/59.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_203,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/6.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_204,local_test_pool:data/prepared_runtime_datasets/apricot__leaf/test/kayısı_yaprak_delen_çil_hastalığı_yaprak_300/609.jpg,apricot__leaf,known supported disease class: kayısı_yaprak_delen_çil_hastalığı_yaprak_300; disease answer or review expected,supported disease coverage for apricot__leaf; split=test,kayısı_yaprak_delen_çil_hastalığı_yaprak_300
demo_205,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ Antraknozu 16.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_206,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 209.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_207,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 213.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_208,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 222.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_209,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 227.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_210,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 230.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_211,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 247.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_212,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 252.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_213,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 261.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_214,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_antraknoz_meyve/Bağ antraknozu 271.JPG,grape__fruit,known supported disease class: üzüm_antraknoz_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_antraknoz_meyve
demo_215,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/17dbe64e-botrite_grappolo82.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_216,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/ab6af538-botrite_grappolo8.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_217,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/bd7c4e16-botrite_grappolo84.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_218,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 168.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_219,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 170.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_220,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 175.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_221,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 178.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_222,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 180.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_223,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 183.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_224,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_botrytis_cinerea_meyve/Botritis Cinerea 186.jpg,grape__fruit,known supported disease class: üzüm_botrytis_cinerea_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_botrytis_cinerea_meyve
demo_225,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_külleme_meyve/Bağ küllemesi 11.JPG,grape__fruit,known supported disease class: üzüm_külleme_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_külleme_meyve
demo_226,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_külleme_meyve/Bağ küllemesi 44.JPG,grape__fruit,known supported disease class: üzüm_külleme_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_külleme_meyve
demo_227,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_külleme_meyve/Bağ küllemesi 48.JPG,grape__fruit,known supported disease class: üzüm_külleme_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_külleme_meyve
demo_228,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_külleme_meyve/Bağ küllemesi 51.JPG,grape__fruit,known supported disease class: üzüm_külleme_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_külleme_meyve
demo_229,local_test_pool:data/prepared_runtime_datasets/grape__fruit/test/üzüm_külleme_meyve/Bağ küllemesi 55.JPG,grape__fruit,known supported disease class: üzüm_külleme_meyve; disease answer or review expected,supported disease coverage for grape__fruit; split=test,üzüm_külleme_meyve
