image_id,source,resolved_image,expected_target,expected_crop,expected_part,expected_class,corrected_crop,corrected_part,corrected_class,prototype_target,prototype_class_label,predicted_crop,predicted_part,predicted_disease,prototype_similarity,prototype_margin,reconcile_reason,failure_bucket,pass_fail,review_decision,prototype_quality,adapter_training_quality,review_notes
demo_146,staged_external:docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,plum,unknown,,0.59085927,0.02075873,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_440,staged_external:docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,tomato,leaf,domates_leaf_mold_yaprak,tomato__leaf,domates_late_blight_yaprak,eggplant,unknown,,0.6229055,0.00222457,prototype_evidence_weak,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_166,staged_external:docs/demo_assets/m2_full_image_set/images/demo_166_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_166_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.64542875,0.08184556,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_168,staged_external:docs/demo_assets/m2_full_image_set/images/demo_168_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_168_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.64312994,0.06896068,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_173,staged_external:docs/demo_assets/m2_full_image_set/images/demo_173_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_173_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot,fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,plum,unknown,,0.62936176,0.07923579,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_372,staged_external:docs/demo_assets/m2_full_image_set/images/demo_372_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_372_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,tomato,fruit,domates_blossom_end_rot_meyve,tomato__fruit,domates_sağlıklı_meyve,eggplant,unknown,,0.64752744,0.05060903,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_377,staged_external:docs/demo_assets/m2_full_image_set/images/demo_377_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_377_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,tomato,fruit,domates_blossom_end_rot_meyve,tomato__fruit,domates_sağlıklı_meyve,eggplant,unknown,,0.7000672,0.11406076,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_384,staged_external:docs/demo_assets/m2_full_image_set/images/demo_384_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_384_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,tomato,fruit,domates_gray_mold_meyve,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.67193348,0.08294599,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_389,staged_external:docs/demo_assets/m2_full_image_set/images/demo_389_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_389_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,tomato,fruit,domates_gray_mold_meyve,tomato__fruit,domates_sağlıklı_meyve,eggplant,unknown,,0.62200559,0.0632653,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_416,staged_external:docs/demo_assets/m2_full_image_set/images/demo_416_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_416_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato,fruit,domates_bacterial_spot_and_speck_meyve,tomato__fruit,domates_sağlıklı_meyve,eggplant,unknown,,0.64021232,0.05639889,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_063,staged_external:docs/demo_assets/m2_full_image_set/images/demo_063_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_063_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,tomato,leaf,domates_early_blight_yaprak,tomato__leaf,domates_late_blight_yaprak,petunia,unknown,,0.59294033,0.05985768,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_438,staged_external:docs/demo_assets/m2_full_image_set/images/demo_438_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_438_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,tomato,leaf,domates_leaf_mold_yaprak,tomato__leaf,domates_early_blight_yaprak,potato,leaf,,0.6248963,0.04770993,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_441,staged_external:docs/demo_assets/m2_full_image_set/images/demo_441_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_441_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,tomato,leaf,domates_leaf_mold_yaprak,tomato__leaf,domates_late_blight_yaprak,potato,leaf,,0.61030262,0.04594347,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_467,staged_external:docs/demo_assets/m2_full_image_set/images/demo_467_tomato_leaf.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_467_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_septoria_leaf_spot_yaprak,tomato,leaf,domates_septoria_leaf_spot_yaprak,tomato__leaf,domates_early_blight_yaprak,potato,leaf,,0.66395626,0.07493198,prototype_policy_not_calibrated,router,fail,exclude_ambiguous,prototype_class_mismatch_or_unclear,not_selected,Target looked plausible but prototype class did not cleanly match expected class; exclude from positive manifests.
demo_587,staged_external:docs/demo_assets/m2_full_image_set/images/demo_587_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_587_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,almond,unknown,,0.53798296,0.01131104,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_589,staged_external:docs/demo_assets/m2_full_image_set/images/demo_589_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_589_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.58822888,0.02051985,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_590,staged_external:docs/demo_assets/m2_full_image_set/images/demo_590_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_590_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısı_sağlıklı_meyve_800,,,,0.54834576,0.01248479,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_592,staged_external:docs/demo_assets/m2_full_image_set/images/demo_592_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_592_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısıda_şarka_virüsü_meyve_230,,,,0.56866242,0.02639152,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_593,staged_external:docs/demo_assets/m2_full_image_set/images/demo_593_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_593_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.57422864,0.02005227,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_594,staged_external:docs/demo_assets/m2_full_image_set/images/demo_594_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_594_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısıda_yaprak_delen_çil_hastalığı_meyve_128,almond,unknown,,0.5331677,0.01925655,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_525,staged_external:docs/demo_assets/m2_full_image_set/images/demo_525_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_525_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_blossom_end_rot_meyve,eggplant,unknown,,0.57716879,0.01618449,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_526,staged_external:docs/demo_assets/m2_full_image_set/images/demo_526_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_526_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_blossom_end_rot_meyve,eggplant,unknown,,0.54216462,0.00262165,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_527,staged_external:docs/demo_assets/m2_full_image_set/images/demo_527_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_527_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_late_blight_meyve,eggplant,unknown,,0.62605042,0.0251445,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_530,staged_external:docs/demo_assets/m2_full_image_set/images/demo_530_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_530_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_blossom_end_rot_meyve,eggplant,unknown,,0.57223017,0.00417404,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_531,staged_external:docs/demo_assets/m2_full_image_set/images/demo_531_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_531_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.57422446,0.00087053,prototype_evidence_weak,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_586,staged_external:docs/demo_assets/m2_full_image_set/images/demo_586_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_586_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.6413291,0.08791746,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_591,staged_external:docs/demo_assets/m2_full_image_set/images/demo_591_apricot_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_591_apricot_fruit.jpg,apricot__fruit,apricot,fruit,,apricot,fruit,,apricot__fruit,kayısı_sağlıklı_meyve_800,plum,unknown,,0.65033462,0.08957763,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_528,staged_external:docs/demo_assets/m2_full_image_set/images/demo_528_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_528_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.65961627,0.09732092,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_529,staged_external:docs/demo_assets/m2_full_image_set/images/demo_529_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_529_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.60611153,0.04593975,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_532,staged_external:docs/demo_assets/m2_full_image_set/images/demo_532_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_532_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.70203457,0.11510867,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
demo_534,staged_external:docs/demo_assets/m2_full_image_set/images/demo_534_tomato_fruit.jpg,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_534_tomato_fruit.jpg,tomato__fruit,tomato,fruit,,tomato,fruit,,tomato__fruit,domates_sağlıklı_meyve,tomato,leaf,,0.60468236,0.04038341,prototype_policy_not_calibrated,,pass,exclude_ambiguous,classless_probe_excluded_from_disease_positive,not_selected,Classless supported probe; excluded from disease-class prototype/adaptor positives.
